"id","category"
30549,"Medical"
822,"City Building"
822,"Medieval"
822,"Territory Building"
13,"Economic"
13,"Negotiation"
68448,"Ancient"
68448,"Card Game"
68448,"City Building"
68448,"Civilization"
68448,"Economic"
36218,"Card Game"
36218,"Medieval"
9209,"Trains"
178900,"Card Game"
178900,"Deduction"
178900,"Party Game"
178900,"Spies/Secret Agents"
178900,"Word Game"
167791,"Economic"
167791,"Environmental"
167791,"Industry / Manufacturing"
167791,"Science Fiction"
167791,"Space Exploration"
167791,"Territory Building"
173346,"Ancient"
173346,"Card Game"
173346,"City Building"
173346,"Civilization"
173346,"Economic"
31260,"Animals"
31260,"Economic"
31260,"Farming"
3076,"City Building"
3076,"Economic"
3076,"Farming"
148228,"Card Game"
148228,"Economic"
148228,"Renaissance"
169786,"Economic"
169786,"Fighting"
169786,"Miniatures"
169786,"Science Fiction"
169786,"Territory Building"
40692,"Fantasy"
40692,"Fighting"
40692,"Territory Building"
14996,"Trains"
230802,"Abstract Strategy"
230802,"Puzzle"
230802,"Renaissance"
70323,"Dice"
70323,"Fighting"
70323,"Movies / TV / Radio theme"
70323,"Science Fiction"
129622,"Card Game"
129622,"Deduction"
129622,"Renaissance"
2651,"Economic"
2651,"Industry / Manufacturing"
266192,"Animals"
266192,"Card Game"
266192,"Educational"
39856,"Card Game"
39856,"Humor"
39856,"Party Game"
163412,"Abstract Strategy"
163412,"Puzzle"
84876,"Dice"
84876,"Medieval"
84876,"Territory Building"
478,"Bluffing"
478,"Card Game"
478,"City Building"
478,"Deduction"
478,"Fantasy"
478,"Medieval"
28143,"Card Game"
28143,"Civilization"
28143,"Economic"
28143,"Science Fiction"
28143,"Space Exploration"
110327,"City Building"
110327,"Fantasy"
174430,"Adventure"
174430,"Exploration"
174430,"Fantasy"
174430,"Fighting"
174430,"Miniatures"
34635,"Dice"
34635,"Economic"
34635,"Prehistoric"
161936,"Environmental"
161936,"Medical"
65244,"Adventure"
65244,"Fantasy"
1927,"Card Game"
1927,"Fantasy"
1927,"Fighting"
1927,"Humor"
12333,"Modern Warfare"
12333,"Political"
12333,"Wargame"
120677,"Civilization"
120677,"Economic"
120677,"Fantasy"
120677,"Territory Building"
98778,"Card Game"
98778,"Deduction"
98778,"Memory"
150376,"Bluffing"
150376,"Deduction"
150376,"Horror"
150376,"Zombies"
54043,"Animals"
54043,"Card Game"
54043,"Economic"
11,"Card Game"
11,"Farming"
11,"Negotiation"
10547,"Adventure"
10547,"Exploration"
10547,"Horror"
10547,"Miniatures"
50,"Card Game"
50,"Exploration"
131357,"Bluffing"
131357,"Card Game"
131357,"Deduction"
131357,"Party Game"
131357,"Political"
147020,"Card Game"
147020,"Fighting"
147020,"Science Fiction"
133473,"Card Game"
70919,"Animals"
70919,"Environmental"
70919,"Farming"
70919,"Territory Building"
170216,"Fantasy"
170216,"Fighting"
170216,"Miniatures"
170216,"Mythology"
15987,"Adventure"
15987,"Fantasy"
15987,"Fighting"
15987,"Horror"
15987,"Novel-based"
41114,"Bluffing"
41114,"Card Game"
41114,"Deduction"
41114,"Negotiation"
41114,"Party Game"
41114,"Science Fiction"
41114,"Spies/Secret Agents"
121921,"Adventure"
121921,"Exploration"
121921,"Fighting"
121921,"Novel-based"
121921,"Territory Building"
204583,"City Building"
204583,"Medieval"
204583,"Territory Building"
181304,"Deduction"
181304,"Horror"
181304,"Murder/Mystery"
181304,"Party Game"
183394,"Economic"
183394,"Farming"
157354,"Animals"
157354,"Arabian"
157354,"Fantasy"
157354,"Mythology"
463,"Bluffing"
463,"Card Game"
463,"Collectible Components"
463,"Fantasy"
463,"Fighting"
37111,"Bluffing"
37111,"Deduction"
37111,"Movies / TV / Radio theme"
37111,"Political"
37111,"Science Fiction"
37111,"Space Exploration"
37111,"Spies/Secret Agents"
126163,"Ancient"
126163,"Civilization"
126163,"Economic"
126163,"Farming"
126163,"Mythology"
205637,"Adventure"
205637,"Card Game"
205637,"Collectible Components"
205637,"Fantasy"
205637,"Horror"
205637,"Novel-based"
193738,"American West"
193738,"Animals"
193738,"Economic"
162886,"Age of Reason"
162886,"Environmental"
162886,"Fantasy"
162886,"Fighting"
162886,"Mythology"
162886,"Renaissance"
162886,"Territory Building"
201808,"Adventure"
201808,"Fantasy"
2655,"Abstract Strategy"
2655,"Animals"
181,"Territory Building"
181,"Wargame"
237182,"Animals"
237182,"Fantasy"
237182,"Wargame"
124361,"Ancient"
124361,"Economic"
124361,"Nautical"
194655,"Abstract Strategy"
194655,"Ancient"
194655,"Mythology"
146021,"Adventure"
146021,"Fantasy"
146021,"Fighting"
146021,"Horror"
146021,"Novel-based"
146021,"Travel"
157969,"Bluffing"
157969,"Card Game"
157969,"Humor"
157969,"Medieval"
157969,"Negotiation"
157969,"Novel-based"
157969,"Party Game"
40834,"Card Game"
40834,"Medieval"
31481,"Real-time"
31481,"Science Fiction"
31481,"Space Exploration"
31481,"Transportation"
171,"Abstract Strategy"
1406,"Economic"
1406,"Negotiation"
199561,"Dice"
199561,"Puzzle"
103343,"Bluffing"
103343,"Fantasy"
103343,"Negotiation"
103343,"Novel-based"
103343,"Political"
103343,"Wargame"
6249,"Arabian"
6249,"City Building"
6249,"Medieval"
102794,"Animals"
102794,"Economic"
102794,"Fantasy"
102794,"Farming"
244521,"Medieval"
96848,"Adventure"
96848,"Exploration"
96848,"Fantasy"
96848,"Fighting"
199792,"Animals"
199792,"Card Game"
199792,"City Building"
199792,"Fantasy"
39463,"Bluffing"
39463,"Negotiation"
39463,"Science Fiction"
39463,"Space Exploration"
128882,"Bluffing"
128882,"Card Game"
128882,"Deduction"
128882,"Fantasy"
128882,"Medieval"
128882,"Negotiation"
128882,"Party Game"
128882,"Spies/Secret Agents"
205059,"Adventure"
205059,"Exploration"
205059,"Fantasy"
205059,"Fighting"
205059,"Horror"
205059,"Miniatures"
205059,"Murder/Mystery"
205059,"Puzzle"
143884,"City Building"
143884,"Dice"
320,"Word Game"
132531,"Civilization"
132531,"Dice"
132531,"Economic"
132531,"Science Fiction"
132531,"Space Exploration"
35677,"City Building"
35677,"Economic"
