"id","designer"
30549,"Matt Leacock"
822,"Klaus-Jürgen Wrede"
13,"Klaus Teuber"
68448,"Antoine Bauza"
36218,"Donald X. Vaccarino"
9209,"Alan R. Moon"
178900,"Vlaada Chvátil"
167791,"Jacob Fryxelius"
173346,"Antoine Bauza"
173346,"Bruno Cathala"
31260,"Uwe Rosenberg"
3076,"Andreas Seyfarth"
148228,"Marc André"
169786,"Jamey Stegmaier"
40692,"Philippe Keyaerts"
14996,"Alan R. Moon"
230802,"Michael Kiesling"
70323,"Richard Garfield"
129622,"Seiji Kanai"
2651,"Friedemann Friese"
266192,"Elizabeth Hargrave"
39856,"Jean-Louis Roubira"
163412,"Uwe Rosenberg"
84876,"Stefan Feld"
478,"Bruno Faidutti"
28143,"Thomas Lehmann"
110327,"Peter Lee"
110327,"Rodney Thompson"
174430,"Isaac Childres"
34635,"Bernd Brunnhofer"
161936,"Rob Daviau"
161936,"Matt Leacock"
65244,"Matt Leacock"
1927,"Steve Jackson (I)"
12333,"Ananda Gupta"
12333,"Jason Matthews"
120677,"Jens Drögemüller"
120677,"Helge Ostertag"
98778,"Antoine Bauza"
150376,"Jonathan Gilmour"
150376,"Isaac Vega"
54043,"Sébastien Pauchon"
11,"Uwe Rosenberg"
10547,"Bruce Glassco"
10547,"Rob Daviau"
10547,"Bill McQuillan"
10547,"Mike Selinker"
10547,"Teeuwynn Woodruff"
50,"Reiner Knizia"
131357,"Rikki Tahta"
147020,"Robert Dougherty"
147020,"Darwin Kastle"
133473,"Phil Walker-Harding"
70919,"Antoine Bauza"
170216,"Eric M. Lang"
15987,"Richard Launius"
15987,"Kevin Wilson"
41114,"Don Eskridge"
121921,"Joanna Kijanka"
121921,"Ignacy Trzewiczek"
204583,"Bruno Cathala"
181304,"Oleksandr Nevskiy"
181304,"Oleg Sidorenko"
183394,"Jamey Stegmaier"
183394,"Alan Stone"
157354,"Bruno Cathala"
463,"Richard Garfield"
37111,"Corey Konieczka"
126163,"Simone Luciani"
126163,"Daniele Tascini"
205637,"Nate French"
205637,"MJ Newman"
193738,"Alexander Pfister"
162886,"R. Eric Reuss"
201808,"Paul Dennen"
2655,"John Yianni"
181,"Albert Lamorisse"
181,"Michael I. Levin"
237182,"Cole Wehrle"
124361,"Mac Gerdts"
194655,"Gord!"
146021,"Corey Konieczka"
146021,"Nikki Valens"
157969,"Sérgio Halaban"
157969,"André Zatz"
40834,"Donald X. Vaccarino"
31481,"Vlaada Chvátil"
171,"(Uncredited)"
1406,"(Uncredited)"
1406,"Charles Darrow"
1406,"Elizabeth J. Magie (Phillips)"
199561,"Adrian Adamescu"
199561,"Daryl Andrews"
103343,"Christian T. Petersen"
6249,"Dirk Henn"
102794,"Uwe Rosenberg"
244521,"Wolfgang Warsch"
96848,"Vlaada Chvátil"
199792,"James A. Wilson"
39463,"Bill Eberle"
39463,"Jack Kittredge"
39463,"Bill Norton"
39463,"Peter Olotka"
39463,"Kevin Wilson"
128882,"Don Eskridge"
205059,"Nikki Valens"
143884,"Masao Suganuma"
320,"Alfred Mosher Butts"
132531,"Wei-Hwa Huang"
132531,"Thomas Lehmann"
35677,"Uwe Rosenberg"
3955,"Emiliano Sciarra"
124742,"Richard Garfield"
124742,"Lukas Litzsinger"
9220,"Fréderic Moyersoen"
18602,"William Attia"
136063,"Matt Leacock"
148949,"Rüdiger Dorn"
72125,"Touko Tahkokallio"
158899,"Christophe Raimbault"
10630,"Richard Borg"
42,"Reiner Knizia"
15062,"Bruno Cathala"
15062,"Serge Laget"
192291,"Phil Walker-Harding"
172,"Stefan Dorra"
182028,"Vlaada Chvátil"
187645,"Corey Konieczka"
224517,"Gavan Brown"
224517,"Matt Tolman"
224517,"Martin Wallace"
146508,"Peggy Chassenet"
146508,"Manuel Rozoy"
284083,"Thomas Sing"
172225,"Matthew Inman"
172225,"Elan Lee"
172225,"Shane Small"
122522,"Paul Peterson"
16992,"Tom McMurchie"
50381,"Josh Dillon"
50381,"Daniel Dranove"
50381,"Eli Halpern"
50381,"Ben Hantoot"
50381,"David Munk"
50381,"David Pinsof"
50381,"Max Temkin"
50381,"Eliot Weinstein"
164928,"Reiner Stockhausen"
93,"Wolfgang Kramer"
93,"Richard Ulrich"
2453,"Bernard Tavitian"
153938,"Steffen Bogen"
103885,"Jason Little"
104162,"Daniel Clark (I)"
104162,"Corey Konieczka"
104162,"Adam Sadler"
104162,"Kevin Wilson"
147949,"Ted Alspach"
147949,"Akihisa Okui"
2223,"Merle Robbins"
155426,"Ted Alspach"
100423,"Richard Launius"
100423,"Kevin Wilson"
432,"Wolfgang Kramer"
18,"Richard Garfield"
8217,"Andreas Seyfarth"
244992,"Wolfgang Warsch"
123260,"Ted Alspach"
154203,"Ignacy Trzewiczek"
123540,"Antoine Bauza"
2653,"Julian Courtland-Smith"
108745,"Régis Bonnessée"
176494,"Andreas Pelikan"
176494,"Alexander Pfister"
100901,"Kevin Lanzing"
12942,"Thorsten Gimmler"
77423,"Nate French"
171623,"Simone Luciani"
171623,"Daniele Tascini"
164153,"Justin Kemppainen"
164153,"Corey Konieczka"
164153,"Jonathan Ying"
233867,"Benoit Turpin"
104006,"Inka Brand"
104006,"Markus Brand"
143741,"Michael Palm"
143741,"Lukas Zach"
28720,"Martin Wallace"
107529,"Donald X. Vaccarino"
188834,"Mike Boxleiter"
188834,"Tommy Maranges"
188834,"Max Temkin"
129437,"Devin Low"
236457,"Shem Phillips"
236457,"S J Macdonald"
209685,"Emerson Matsuuchi"
73439,"Sébastien Dujardin"
73439,"Xavier Georges"
73439,"Alain Orban"
122515,"Sebastian Bleasdale"
122515,"Richard Breese"
177736,"Uwe Rosenberg"
8203,"Günter Cornett"
8203,"Alvydas Jakeliunas"
