"id","mechanic"
30549,"Action Points"
30549,"Cooperative Game"
30549,"Hand Management"
30549,"Point to Point Movement"
30549,"Set Collection"
30549,"Trading"
30549,"Variable Player Powers"
822,"Area Majority / Influence"
822,"Map Addition"
822,"Tile Placement"
13,"Dice Rolling"
13,"Hexagon Grid"
13,"Income"
13,"Modular Board"
13,"Network and Route Building"
13,"Race"
13,"Random Production"
13,"Trading"
13,"Variable Set-up"
68448,"Drafting"
68448,"Hand Management"
68448,"Set Collection"
68448,"Simultaneous Action Selection"
68448,"Variable Player Powers"
36218,"Deck Bag and Pool Building"
36218,"Delayed Purchase"
36218,"Hand Management"
36218,"Take That"
36218,"Variable Set-up"
9209,"Card Drafting"
9209,"Contracts"
9209,"End Game Bonuses"
9209,"Hand Management"
9209,"Network and Route Building"
9209,"Push Your Luck"
9209,"Set Collection"
178900,"Communication Limits"
178900,"Memory"
178900,"Push Your Luck"
178900,"Team-Based Game"
167791,"Drafting"
167791,"End Game Bonuses"
167791,"Hand Management"
167791,"Hexagon Grid"
167791,"Income"
167791,"Set Collection"
167791,"Solo / Solitaire Game"
167791,"Take That"
167791,"Tile Placement"
167791,"Turn Order: Progressive"
167791,"Variable Player Powers"
173346,"Card Drafting"
173346,"Layering"
173346,"Set Collection"
173346,"Sudden Death Ending"
173346,"Tug of War"
31260,"Advantage Token"
31260,"Automatic Resource Growth"
31260,"Drafting"
31260,"Enclosure"
31260,"Hand Management"
31260,"Increase Value of Unchosen Resources"
31260,"Solo / Solitaire Game"
31260,"Turn Order: Claim Action"
31260,"Variable Player Powers"
31260,"Worker Placement"
3076,"Action Drafting"
3076,"End Game Bonuses"
3076,"Follow"
3076,"Hidden Victory Points"
3076,"Increase Value of Unchosen Resources"
3076,"Turn Order: Progressive"
3076,"Variable Phase Order"
148228,"Card Drafting"
148228,"Contracts"
148228,"Race"
148228,"Set Collection"
169786,"Action Drafting"
169786,"Card Play Conflict Resolution"
169786,"End Game Bonuses"
169786,"Force Commitment"
169786,"Grid Movement"
169786,"Hexagon Grid"
169786,"King of the Hill"
169786,"Movement Points"
169786,"Narrative Choice / Paragraph"
169786,"Solo / Solitaire Game"
169786,"Tech Trees / Tech Tracks"
169786,"Variable Player Powers"
169786,"Victory Points as a Resource"
40692,"Area Majority / Influence"
40692,"Area Movement"
40692,"Auction: Dutch Priority"
40692,"Dice Rolling"
40692,"Hidden Victory Points"
40692,"Variable Player Powers"
40692,"Variable Set-up"
40692,"Victory Points as a Resource"
14996,"Card Drafting"
14996,"Connections"
14996,"End Game Bonuses"
14996,"Hand Management"
14996,"Network and Route Building"
14996,"Push Your Luck"
14996,"Set Collection"
230802,"End Game Bonuses"
230802,"Pattern Building"
230802,"Set Collection"
230802,"Tile Placement"
230802,"Turn Order: Claim Action"
70323,"Card Drafting"
70323,"Dice Rolling"
70323,"Die Icon Resolution"
70323,"King of the Hill"
70323,"Player Elimination"
70323,"Push Your Luck"
70323,"Re-rolling and Locking"
129622,"Deduction"
129622,"Hand Management"
129622,"Player Elimination"
129622,"Score-and-Reset Game"
2651,"Auction/Bidding"
2651,"Auction: Turn Order Until Pass"
2651,"Catch the Leader"
2651,"Income"
2651,"Market"
2651,"Network and Route Building"
2651,"Turn Order: Stat-Based"
266192,"Card Drafting"
266192,"Dice Rolling"
266192,"Drafting"
266192,"End Game Bonuses"
266192,"Hand Management"
266192,"Set Collection"
266192,"Solo / Solitaire Game"
39856,"Race"
39856,"Simultaneous Action Selection"
39856,"Storytelling"
39856,"Targeted Clues"
39856,"Voting"
163412,"Card Drafting"
163412,"Drafting"
163412,"Grid Coverage"
163412,"Income"
163412,"Square Grid"
163412,"Tile Placement"
163412,"Time Track"
163412,"Victory Points as a Resource"
84876,"Dice Rolling"
84876,"Grid Coverage"
84876,"Hexagon Grid"
84876,"Set Collection"
84876,"Tile Placement"
84876,"Turn Order: Stat-Based"
84876,"Worker Placement with Dice Workers"
478,"Action Drafting"
478,"Card Drafting"
478,"Drafting"
478,"Hidden Roles"
478,"Lose a Turn"
478,"Set Collection"
478,"Turn Order: Role Order"
478,"Variable Player Powers"
28143,"Follow"
28143,"Hand Management"
28143,"Set Collection"
28143,"Simultaneous Action Selection"
28143,"Turn Order: Role Order"
28143,"Variable Phase Order"
28143,"Variable Player Powers"
110327,"Contracts"
110327,"Hidden Roles"
110327,"Increase Value of Unchosen Resources"
110327,"Ownership"
110327,"Set Collection"
110327,"Take That"
110327,"Turn Order: Claim Action"
110327,"Worker Placement"
174430,"Action Queue"
174430,"Action Retrieval"
174430,"Campaign / Battle Card Driven"
174430,"Card Play Conflict Resolution"
174430,"Communication Limits"
174430,"Cooperative Game"
174430,"Critical Hits and Failures"
174430,"Deck Construction"
174430,"Deck Bag and Pool Building"
174430,"Grid Movement"
174430,"Hand Management"
174430,"Hexagon Grid"
174430,"Legacy Game"
174430,"Modular Board"
174430,"Once-Per-Game Abilities"
174430,"Scenario / Mission / Campaign Game"
174430,"Simultaneous Action Selection"
174430,"Solo / Solitaire Game"
174430,"Storytelling"
174430,"Variable Player Powers"
34635,"Contracts"
34635,"Dice Rolling"
34635,"End Game Bonuses"
34635,"Set Collection"
34635,"Turn Order: Progressive"
34635,"Worker Placement"
161936,"Action Points"
161936,"Cooperative Game"
161936,"Hand Management"
161936,"Legacy Game"
161936,"Point to Point Movement"
161936,"Set Collection"
161936,"Trading"
161936,"Variable Player Powers"
65244,"Action Points"
65244,"Cooperative Game"
65244,"Grid Movement"
65244,"Hand Management"
65244,"Map Reduction"
65244,"Modular Board"
65244,"Pick-up and Deliver"
65244,"Set Collection"
65244,"Solo / Solitaire Game"
65244,"Variable Player Powers"
1927,"Hand Management"
1927,"Take That"
1927,"Variable Player Powers"
12333,"Action/Event"
12333,"Advantage Token"
12333,"Area Majority / Influence"
12333,"Campaign / Battle Card Driven"
12333,"Dice Rolling"
12333,"Events"
12333,"Hand Management"
12333,"Simulation"
12333,"Simultaneous Action Selection"
12333,"Sudden Death Ending"
12333,"Tug of War"
120677,"End Game Bonuses"
120677,"Hexagon Grid"
120677,"Income"
120677,"Increase Value of Unchosen Resources"
120677,"Network and Route Building"
120677,"Tech Trees / Tech Tracks"
120677,"Turn Order: Pass Order"
120677,"Variable Player Powers"
120677,"Variable Set-up"
120677,"Victory Points as a Resource"
98778,"Communication Limits"
98778,"Cooperative Game"
98778,"Hand Management"
98778,"Memory"
98778,"Set Collection"
150376,"Action Points"
150376,"Area Movement"
150376,"Dice Rolling"
150376,"Hand Management"
150376,"Narrative Choice / Paragraph"
150376,"Push Your Luck"
150376,"Semi-Cooperative Game"
150376,"Storytelling"
150376,"Trading"
150376,"Traitor Game"
150376,"Variable Player Powers"
150376,"Voting"
54043,"Card Drafting"
54043,"Hand Management"
54043,"Hidden Victory Points"
54043,"Market"
54043,"Score-and-Reset Game"
54043,"Set Collection"
11,"Hand Management"
11,"Melding and Splaying"
11,"Negotiation"
11,"Set Collection"
11,"Trading"
10547,"Dice Rolling"
10547,"Map Addition"
10547,"Modular Board"
10547,"Player Elimination"
10547,"Role Playing"
10547,"Storytelling"
10547,"Team-Based Game"
10547,"Traitor Game"
10547,"Variable Player Powers"
50,"Hand Management"
50,"Push Your Luck"
50,"Score-and-Reset Game"
50,"Set Collection"
131357,"Hidden Roles"
131357,"Memory"
131357,"Player Elimination"
131357,"Take That"
131357,"Variable Player Powers"
147020,"Card Drafting"
147020,"Deck Bag and Pool Building"
147020,"Delayed Purchase"
147020,"Hand Management"
147020,"Take That"
133473,"Card Drafting"
133473,"Drafting"
133473,"End Game Bonuses"
133473,"Hand Management"
133473,"Set Collection"
133473,"Simultaneous Action Selection"
70919,"Action Points"
70919,"Contracts"
70919,"Dice Rolling"
70919,"End Game Bonuses"
70919,"Grid Movement"
70919,"Hexagon Grid"
70919,"Modular Board"
70919,"Network and Route Building"
70919,"Pattern Building"
70919,"Set Collection"
70919,"Tile Placement"
170216,"Action Points"
170216,"Area Majority / Influence"
170216,"Area Movement"
170216,"Card Drafting"
170216,"Card Play Conflict Resolution"
170216,"Drafting"
170216,"Hand Management"
170216,"Memory"
170216,"Simultaneous Action Selection"
15987,"Cooperative Game"
15987,"Dice Rolling"
15987,"Events"
15987,"Finale Ending"
15987,"Hand Management"
15987,"Lose a Turn"
15987,"Point to Point Movement"
15987,"Role Playing"
15987,"Solo / Solitaire Game"
15987,"Stat Check Resolution"
15987,"Variable Player Powers"
41114,"Hidden Roles"
41114,"Memory"
41114,"Roles with Asymmetric Information"
41114,"Simultaneous Action Selection"
41114,"Team-Based Game"
41114,"Traitor Game"
41114,"Voting"
121921,"Action Queue"
121921,"Area Movement"
121921,"Cooperative Game"
121921,"Dice Rolling"
121921,"Die Icon Resolution"
121921,"Events"
121921,"Hexagon Grid"
121921,"Map Addition"
121921,"Movement Points"
121921,"Narrative Choice / Paragraph"
121921,"Scenario / Mission / Campaign Game"
121921,"Solo / Solitaire Game"
121921,"Tile Placement"
121921,"Variable Player Powers"
121921,"Worker Placement"
204583,"Card Drafting"
204583,"Drafting"
204583,"Tile Placement"
204583,"Turn Order: Stat-Based"
181304,"Communication Limits"
181304,"Cooperative Game"
181304,"Deduction"
181304,"Finale Ending"
181304,"Hand Management"
181304,"Pattern Recognition"
181304,"Voting"
183394,"Contracts"
183394,"Hand Management"
183394,"Solo / Solitaire Game"
183394,"Turn Order: Auction"
183394,"Victory Points as a Resource"
183394,"Worker Placement"
183394,"Worker Placement Different Worker Types"
157354,"Auction/Bidding"
157354,"Constrained Bidding"
157354,"End Game Bonuses"
157354,"Hidden Victory Points"
157354,"Mancala"
157354,"Modular Board"
157354,"Set Collection"
157354,"Square Grid"
157354,"Take That"
157354,"Turn Order: Auction"
157354,"Variable Player Powers"
157354,"Variable Set-up"
157354,"Victory Points as a Resource"
463,"Card Drafting"
463,"Deck Construction"
463,"Hand Management"
463,"Interrupts"
463,"Take That"
37111,"Area Movement"
37111,"Dice Rolling"
37111,"Hand Management"
37111,"Hidden Roles"
37111,"Once-Per-Game Abilities"
37111,"Role Playing"
37111,"Semi-Cooperative Game"
37111,"Team-Based Game"
37111,"Traitor Game"
37111,"Variable Player Powers"
37111,"Variable Set-up"
37111,"Voting"
126163,"Bias"
126163,"End Game Bonuses"
126163,"Turn Order: Claim Action"
126163,"Worker Placement"
205637,"Action Points"
205637,"Area Movement"
205637,"Communication Limits"
205637,"Cooperative Game"
205637,"Deck Construction"
205637,"Deck Bag and Pool Building"
205637,"Events"
205637,"Hand Management"
205637,"Map Deformation"
205637,"Modular Board"
205637,"Role Playing"
205637,"Scenario / Mission / Campaign Game"
205637,"Solo / Solitaire Game"
205637,"Stat Check Resolution"
205637,"Variable Player Powers"
193738,"Deck Bag and Pool Building"
193738,"Hand Management"
193738,"Ownership"
193738,"Point to Point Movement"
193738,"Rondel"
193738,"Set Collection"
193738,"Track Movement"
193738,"Variable Set-up"
162886,"Action Retrieval"
162886,"Area Majority / Influence"
162886,"Campaign / Battle Card Driven"
162886,"Cooperative Game"
162886,"Events"
162886,"Hand Management"
162886,"Modular Board"
162886,"Set Collection"
162886,"Simultaneous Action Selection"
162886,"Solo / Solitaire Game"
162886,"Variable Player Powers"
201808,"Card Drafting"
201808,"Deck Bag and Pool Building"
201808,"End Game Bonuses"
201808,"Movement Points"
201808,"Player Elimination"
201808,"Point to Point Movement"
201808,"Push Your Luck"
201808,"Variable Set-up"
2655,"Enclosure"
2655,"Grid Movement"
2655,"Hexagon Grid"
2655,"Pieces as Map"
2655,"Slide/Push"
2655,"Three Dimensional Movement"
2655,"Tile Placement"
181,"Area Movement"
181,"Dice Rolling"
181,"Player Elimination"
181,"Set Collection"
237182,"Action Queue"
237182,"Action Retrieval"
237182,"Area Majority / Influence"
237182,"Area Movement"
237182,"Dice Rolling"
237182,"Hand Management"
237182,"Point to Point Movement"
237182,"Race"
237182,"Variable Player Powers"
237182,"Variable Set-up"
124361,"Action Retrieval"
124361,"Advantage Token"
124361,"Auction: Dutch"
124361,"Card Drafting"
124361,"Deck Bag and Pool Building"
124361,"Hand Management"
124361,"Movement Points"
124361,"Point to Point Movement"
124361,"Set Collection"
124361,"Variable Set-up"
194655,"Grid Movement"
194655,"Pattern Building"
194655,"Race"
194655,"Square Grid"
194655,"Team-Based Game"
194655,"Three Dimensional Movement"
194655,"Variable Player Powers"
146021,"Action Points"
146021,"Cooperative Game"
146021,"Dice Rolling"
146021,"Point to Point Movement"
146021,"Role Playing"
146021,"Solo / Solitaire Game"
146021,"Stat Check Resolution"
146021,"Variable Player Powers"
157969,"Betting and Bluffing"
157969,"Bribery"
157969,"Card Drafting"
157969,"Hand Management"
157969,"Negotiation"
157969,"Role Playing"
157969,"Set Collection"
40834,"Deck Bag and Pool Building"
40834,"Hand Management"
31481,"Dice Rolling"
31481,"Events"
31481,"Real-Time"
31481,"Relative Movement"
31481,"Team-Based Game"
31481,"Tile Placement"
31481,"Track Movement"
171,"Grid Movement"
171,"Pattern Movement"
171,"Square Grid"
171,"Static Capture"
1406,"Auction/Bidding"
1406,"Income"
1406,"Loans"
1406,"Lose a Turn"
1406,"Ownership"
1406,"Player Elimination"
1406,"Roll / Spin and Move"
1406,"Set Collection"
1406,"Stock Holding"
1406,"Track Movement"
1406,"Trading"
199561,"Contracts"
199561,"Dice Rolling"
199561,"Drafting"
199561,"Pattern Building"
199561,"Set Collection"
199561,"Solo / Solitaire Game"
103343,"Area Majority / Influence"
103343,"Area Movement"
103343,"Auction/Bidding"
103343,"Auction: Sealed Bid"
103343,"Card Play Conflict Resolution"
103343,"Hand Management"
103343,"Order Counters"
103343,"Player Elimination"
103343,"Prisoners Dilemma"
103343,"Simultaneous Action Selection"
103343,"Variable Player Powers"
6249,"Card Drafting"
6249,"Hand Management"
6249,"Memory"
6249,"Set Collection"
6249,"Tile Placement"
102794,"Automatic Resource Growth"
102794,"Increase Value of Unchosen Resources"
102794,"Solo / Solitaire Game"
102794,"Tile Placement"
102794,"Turn Order: Claim Action"
102794,"Worker Placement"
244521,"Catch the Leader"
244521,"Deck Bag and Pool Building"
244521,"Dice Rolling"
244521,"Push Your Luck"
244521,"Variable Set-up"
96848,"Card Drafting"
96848,"Cooperative Game"
96848,"Deck Bag and Pool Building"
96848,"Dice Rolling"
96848,"Grid Movement"
96848,"Hand Management"
96848,"Hexagon Grid"
96848,"Modular Board"
96848,"Role Playing"
96848,"Solo / Solitaire Game"
96848,"Variable Player Powers"
199792,"Card Drafting"
199792,"End Game Bonuses"
199792,"Hand Management"
199792,"Income"
199792,"Solo / Solitaire Game"
199792,"Variable Set-up"
199792,"Worker Placement"
